,id,gericht,urteilsdatum,fall_nr,url_link,verfahrensart,geschlecht,nationalitaet,hauptdelikt,mehrfach,gewerbsmaessig,bandenmaessig,deliktssumme,nebenverurteilungsscore,vorbestraft,vorbestraft_einschlaegig,freiheitsstrafe_in_monaten,vollzug
92,51,Bezirksgericht Dietikon,2020-09-29,SB200466,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB200466-O2.pdf,0,männlich,unbekannt,ung. Geschäftsbesorgung,False,False,False,70000,2,True,False,10,2
93,130,Bezirksgericht Zürich,2020-10-02,SB210028,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210028-O1.pdf,0,männlich,unbekannt,Veruntreuung,False,False,False,61500,4,True,True,7,0
94,106,Bezirksgericht Dielsdorf,2020-10-02,SB210241,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210241-O1.pdf,0,männlich,Ausländerin/Ausländer,Betrug,False,False,False,170000,0,False,False,28,1
95,103,Bezirksgericht Zürich,2020-10-13,SB210054,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210054-O1.pdf,0,männlich,Ausländerin/Ausländer,betr. Missbrauch DVA,False,True,False,31918,2,True,True,9,2
96,100,Bezirksgericht Zürich,2020-10-15,SB210163,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210163-O1.pdf,0,männlich,unbekannt,ung. Geschäftsbesorgung,True,False,False,239729,0,False,False,18,0
97,158,Bezirksgericht Dietikon,2020-11-11,SB210319,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210319-O1.pdf,0,männlich,Ausländerin/Ausländer,Diebstahl,True,True,False,190000,6,False,False,36,2
98,9,Bezirksgericht Winterthur,2020-11-12,SB210165,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210165-O1.pdf,0,männlich,unbekannt,Betrug,False,True,False,450600,0,True,False,33,1
99,98,Bezirksgericht Dietikon,2020-11-16,SB210045,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210045-O1.pdf,0,männlich,Ausländerin/Ausländer,Betrug,False,True,False,100001,0,True,False,24,0
100,132,Bezirksgericht Zürich,2020-11-19,SB210127,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210127-O1.pdf,0,männlich,Ausländerin/Ausländer,Diebstahl,True,False,False,1845,1,True,True,9,0
101,121,Bezirksgericht Meilen,2020-11-26,SB210246,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210246-O1.pdf,0,weiblich,Ausländerin/Ausländer,Diebstahl,False,True,False,23403,4,False,False,30,1
102,102,Bezirksgericht Horgen,2020-11-30,SB210193,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210193-O1.pdf,0,männlich,Schweizerin/Schweizer,Betrug,False,False,False,280134,3,False,False,10,0
103,134,Bezirksgericht Bülach,2020-12-17,SB210233,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210233-O1.pdf,0,männlich,Ausländerin/Ausländer,Diebstahl,True,False,False,22600,9,True,True,31,2
